Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [El Guante],Precio [El Guante],En inventario [El Guante],Existencias bajas [El Guante]
agata-escoba,10046,AGATA ESCOBA,ESCOBAS,,N,,,,,,,2667.00,,,,Y,Y,5300.00,4.000,0.000
alcohol-etílico,10035,ALCOHOL ETÍLICO,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,1400.00,,,,Y,Y,3200.00,15.000,0.000
alcohol-gel,10034,ALCOHOL GEL,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,1700.00,,,,Y,Y,5000.00,2.000,0.000
algodon-x-100-gr,10204,ALGODON X 100 GR,VARIOS,,N,,,,,,,771.00,,,,Y,Y,1500.00,4.000,0.000
alimento-gato,10194,ALIMENTO GATO,MASCOTAS,,Y,,,,,,,1809.00,,,,Y,Y,3000.00,0.000,0.000
alimento-perro,10195,ALIMENTO PERRO,MASCOTAS,,Y,,,,,,,980.00,,,,Y,Y,2000.00,0.000,0.000
ambiente-aero-smell-fresh,10179,AMBIENTE AERO SMELL FRESH,PERFUMINAS / AROMA HOGAR,,N,,,,,,,3052.00,,,,Y,Y,4700.00,1.000,0.000
anilina,10207,ANILINA,VARIOS,,N,,,,,,,1607.00,,,,Y,Y,2700.00,6.000,0.000
antorchita-horno,10215,ANTORCHITA HORNO,VARIOS,,N,,,,,,,325.00,,,,Y,Y,700.00,20.000,0.000
argentina-escobillon,10049,ARGENTINA ESCOBILLON,ESCOBAS,,N,,,,,,,2220.00,,,,Y,Y,4500.00,4.000,0.000
azufre-canuto,10197,AZUFRE CANUTO,VARIOS,,N,,,,,,,85.00,,,,Y,Y,150.00,30.000,0.000
bactericida,10122,BACTERICIDA,PILETA,,N,,,,,,,5309.00,,,,Y,Y,7900.00,2.000,0.000
balde-16-l-sina,10221,BALDE 16 L SINA,PLASTICOS,,N,,,,,,,3165.00,,,,Y,Y,6300.00,3.000,0.000
balde-c/-escurridor-sino-15-l,10134,BALDE C/ ESCURRIDOR SINO 15 L,PLASTICOS,,N,,,,,,,5191.00,,,,Y,Y,10300.00,1.000,0.000
balde-sina-10-l-manija-plastica,10131,BALDE SINA 10 L MANIJA PLASTICA,PLASTICOS,,N,,,,,,,1970.00,,,,Y,Y,3900.00,4.000,0.000
